name,operation,key,value
satoshi1.ic,InsertOrIgnore,account_id.icp,fw22m-w7i7s-ay62i-veqnh-36lmq-7gjdv-yhxq4-wf4bv-6amz4-2glys-2ae
sembujung87.ic,InsertOrIgnore,account_id.icp,f6l2b-qvtc7-5eb73-u6iab-rb4k4-izxug-y4g3x-b2uyr-nno77-w5h24-5ae
hwrd.ic,InsertOrIgnore,account_id.icp,liykr-e3k6p-5f44j-w7fw3-oyj6z-55p4u-s5in7-aa637-zf5d6-zkpms-pae
igorbrasil.ic,InsertOrIgnore,account_id.icp,heyio-7aet3-6ksq2-yveot-xmpiy-cyij4-2mc74-zttos-h7j7z-efdpz-rqe
olaitantm.ic,InsertOrIgnore,account_id.icp,6rucj-dmper-aklx4-i5sro-wbp6r-nqb4g-ssoen-xsmnv-hbnwo-meyqu-fqe
libgen.ic,InsertOrIgnore,account_id.icp,i3wcj-2gtmr-2iqng-ojtre-dppux-zcfqu-mln4q-lhniw-5mbwu-vymgz-rae
icpibtc.ic,InsertOrIgnore,account_id.icp,z5tfs-klyix-7n2s3-iutem-vke32-5zaw2-bf5wa-bcnfv-q2lar-2t7le-kae
searchic.ic,InsertOrIgnore,account_id.icp,vkavx-tothv-w3qwp-ppqhg-otcvs-gisgq-6kmlq-5fje7-vojcg-qmskk-2ae
kyotocoffee.ic,InsertOrIgnore,account_id.icp,avugp-tmcm3-c2g7y-6kgef-cyil2-3mskn-wks6k-wc6t2-n5h63-etffj-7ae
poker.ic,InsertOrIgnore,account_id.icp,bomo5-2mfg3-vu4e3-2h3ug-gimws-2eg7i-agqhn-c2wtk-l5oui-yeo36-jqe
antoniorellana.ic,InsertOrIgnore,account_id.icp,p3djc-tvilu-hqrdh-kbnza-mk3s7-e3grx-u37vl-6mhhs-b5wy5-x5hpm-gqe
hassaku.ic,InsertOrIgnore,account_id.icp,tglhf-erlvc-islgc-adq77-kagd6-34n3v-u6ise-a7iow-gke47-5uqc6-hqe
metapass.ic,InsertOrIgnore,account_id.icp,lhuod-hdmaf-susrk-ceufk-wwxev-adz2g-54hyk-epcp2-ukdnp-fbkip-iqe
icmedalog.ic,InsertOrIgnore,account_id.icp,6pr3l-cwwqq-b4n7n-bm3f4-azpnt-3ju5m-74dzo-svbov-czmbp-zlana-xqe
accuragen.ic,InsertOrIgnore,account_id.icp,houv7-4pcce-c66kx-erjfw-3hu3m-r53nz-zk4ke-infsi-gzikb-rnxgb-bqe
